t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,r90_over_r50,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,rho_core,rho_mid,rho_far,rho_shell,rho_origin,mass_core,mass_mid,mass_far,mass_core_frac,mass_mid_frac,mass_far_frac,contrast_im,contrast_mf,contrast_oi,contrast_sf,two_scale_bright,two_scale_hollow,two_scale,re_core_mean,re_core_min,re_mid_mean,re_mid_max,re_origin,re_max,re_min,plus_env,minus_core,hole_core,sign_nest,N,dx
0.0,1.0000000000000002,0.014579860327610177,141.55978395858352,2.5224893176766083,2.23606797749979,3.082207001484488,3.570714214271425,0.0,0.0,0.2945243112740431,9.42477796076938,0.9308994211670185,0.0,0.0,0.0,True,1.5968719422671311,358,4.404853536089669,2.2024267680448344,False,0.005951074895614618,0.006250686652763564,1.901470440947038e-11,0.009657473508708632,0.0,0.014133802877084716,0.6266313369395473,5.824845706894597e-07,0.014133802877084713,0.6266313369395472,5.824845706894596e-07,0.9520673849461833,328729099.2359773,9.657473508708632e+297,507895011.1840115,False,True,True,0.07368185294189433,0.0,0.07676102554626413,0.11524443293673238,0.0,0.12074709241886604,0.0,True,False,True,True,64,0.5
0.01,33.675405096199434,0.03234984631382771,14978.381735807936,15.765385030748782,15.580436450882884,19.150718002205558,20.83266665599966,0.006089328557945162,0.00012143548826505213,0.2945243112740431,9.42477796076938,0.9979465390184373,0.002005739446498328,5.265645234816348e-06,5.2778884554741394e-08,True,1.3371041768742717,64,2.4814019635976,1.2407009817988,False,0.008234857951176953,0.007112397415331618,0.000996312863704597,0.010457993924291442,0.002060080137450206,0.019557787634045264,0.7130178408869947,30.520425571186813,0.0005807736411239944,0.021173252076705236,0.9063120542722531,1.1578174657993292,7.138718844686539,5.076498595455353,10.49669667558583,False,True,True,0.08025599651721362,-0.03478362308888638,0.07594808976278278,0.17972492518100838,-0.03478362308888638,0.17972492518100838,-0.10781508021014705,True,False,True,True,64,0.5
0.02,66.23625721306783,0.04551903812661517,15977.14964137301,15.877805602893973,15.644487847162015,19.196353820452465,20.868636754709208,0.017031952746919835,0.0005240723183316087,0.2945243112740431,9.42477796076938,0.9989590132998201,0.006733041161701576,1.86270181400167e-05,1.871757069019704e-07,True,1.333929046357045,46,2.2227455057007925,1.1113727528503963,False,0.010497801773443817,0.008259355045886584,0.0019907700728613643,0.011578880009592956,0.0024941518133749815,0.024932279211929066,0.8280003433501301,60.9840061807395,0.00037641437274644416,0.012500711516452849,0.9207042901679519,1.2710195548104024,4.148824195460849,4.642411880263576,5.816281934030912,False,True,True,0.0872110022757237,-0.017798544305587638,0.07676033919653928,0.20950775549204828,-0.017798544305587638,0.21198762454193293,-0.15324987532066864,True,False,True,True,64,0.5
0.03,99.0439071048242,0.06461560508959231,16238.028704412909,15.915612998559109,15.692354826475215,19.196353820452465,20.868636754709208,0.027479138889680666,0.0011823777446456003,0.2945243112740431,9.42477796076938,0.9992908878091527,0.014382052045882486,4.2047892370370475e-05,4.236664199848653e-07,True,1.329860112486169,21,1.711499967172251,0.8557499835861255,False,0.009981467211486197,0.009341923251258702,0.0029932444630178315,0.012780006249214776,0.002502939781628003,0.02370598462727972,0.9365278059386848,91.69318010229887,0.0002393482377688335,0.009455683174407693,0.9257831479250348,1.0684595605237204,3.121002432871802,5.105998291697691,4.269616600686799,False,True,True,0.0809265694402089,-0.019458038851354078,0.07670152603766896,0.22070620838951283,-0.019458038851354078,0.25376234275475346,-0.16641356629347312,True,False,True,True,64,0.5
0.04,131.6536533328282,0.07012818853035585,16340.356229778343,15.934618557621382,15.692354826475215,19.20286436967152,20.89258241577618,0.04513866367199825,0.002071293384602777,0.2945243112740431,9.42477796076938,0.9994548624812414,0.024452818082316898,7.561249898287e-05,7.639830868577084e-07,True,1.3313860568923312,52,2.315465128419067,1.1577325642095335,False,0.012633115592528141,0.010337164467636991,0.0039863463642923185,0.01357137799475376,0.0034478399761085775,0.030003649532254335,1.0363007378806084,122.1152430572532,0.00022789834366694964,0.0078714164905153,0.9275492169483414,1.2221064714679915,2.5931425729164177,3.9361971810742693,3.4044653310408055,False,True,True,0.08587123479733794,-0.0006908439140924476,0.07636719999307434,0.2267181970964207,0.029836569479516475,0.2528935067850866,-0.19593906284202284,True,False,True,True,64,0.5
0.05,164.17381855384565,0.057509337979032245,16357.118375334512,15.948986229764346,15.700318468107582,19.20286436967152,20.886598574205422,0.05927282061651435,0.003168187582609186,0.2945243112740431,9.42477796076938,0.9995830160119722,0.03633315922714412,0.0001187889670803569,1.2036244222385227e-06,True,1.3303296118886283,846,5.867150806277213,2.9335754031386063,False,0.01328686535010101,0.01136929857742797,0.004978566779834154,0.014855457970146292,0.00669018185093583,0.0315563052064899,1.139772182387154,152.51030312920207,0.00019221277475579994,0.006942472267667528,0.928956300539369,1.1686618360502978,2.2836489054399514,2.220486423409895,2.983882435868653,False,False,False,0.08894679520219562,0.025074482516183993,0.077511540582027,0.23954255395106416,0.03329208456761402,0.23954255395106416,-0.2111359675352939,True,False,True,True,64,0.5
0.06,196.84019241409067,0.0712822702438083,16377.61628758835,15.95129847983311,15.700318468107582,19.20286436967152,20.868636754709208,0.06904492366042247,0.004454709025863867,0.2945243112740431,9.42477796076938,0.9996685493507603,0.04961811802546448,0.00017137980920213123,1.7414170426538213e-06,True,1.3291855701589843,684,5.465826360334499,2.7329131801672495,False,0.014330070717395574,0.012629280886821729,0.005976132214037803,0.015901434177737293,0.005289774073159686,0.03403391795381449,1.2660854089038782,183.0690991622003,0.00017290126338739646,0.00643204720223209,0.9300392207353656,1.1346703621382408,2.113286727016485,3.0060705727341306,2.6608236913475865,False,False,False,0.08984432860381546,0.014084936561447233,0.0784105737775605,0.25592304096753926,0.014084936561447233,0.2572561751242837,-0.23074380820861365,True,False,True,True,64,0.5
0.07,229.42595185261098,0.08342995862926078,16414.666661716616,15.969395439277463,15.724185193516387,19.215878850575635,20.89258241577618,0.0757933139154761,0.005912986596069871,0.2945243112740431,9.42477796076938,0.99971528426869,0.06411766285015646,0.00023373078606742494,2.3817019539390845e-06,True,1.3286909406530583,680,5.455150891048748,2.727575445524374,False,0.014880056667538333,0.013670067610404632,0.006971112910504327,0.016980708507653753,0.008111843030403122,0.03534013458540354,1.3704242779430644,213.5487159548205,0.00015403721462211448,0.0059732748927351495,0.9307958155144087,1.0885137580601831,1.9609591446734533,2.0933231133800536,2.435867662115557,False,False,False,0.08891582081759308,-0.0027614223006102723,0.07829410820674523,0.24578954688800736,0.04728924332417098,0.2586798105308189,-0.2554601286412541,True,False,True,True,64,0.5
0.08,261.9824669998553,0.09652923238495774,16410.62000342471,15.978183508002301,15.724185193516387,19.222382786741086,20.89258241577618,0.08469734328806418,0.007525053082302833,0.2945243112740431,9.42477796076938,0.9997614711016142,0.07922224233679812,0.00030452427939330225,3.111884480547802e-06,True,1.3286909406530583,617,5.281194774669723,2.6405973873348616,False,0.015739892856933477,0.014407470547510131,0.007965499134465403,0.017565774830096168,0.01213499546346959,0.03738224553521701,1.4443489223878907,244.01012204825415,0.0001426898752550401,0.005513151085750667,0.9313986727531233,1.0924813488273006,1.8087341802814816,1.4475303994117712,2.205232156022961,False,False,False,0.08730930327774845,-0.029258718053239995,0.07715535214522214,0.27751032078739885,0.06909431356391955,0.27751032078739885,-0.29486534484361343,True,False,True,True,64,0.5
0.09,294.527097328227,0.10644845572395384,16429.534050042283,15.982788001577452,15.724185193516387,19.222382786741086,20.89258241577618,0.09242963929452896,0.009277335853118813,0.2945243112740431,9.42477796076938,0.9997869666064717,0.09494045348987155,0.0003844397480050313,3.939662845946109e-06,True,1.3286909406530583,672,5.43367369666554,2.71683684833277,False,0.01893979467059945,0.015500619428992552,0.00895868104211248,0.018552324694304134,0.0347482793704023,0.0449820123426737,1.5539370977565032,274.4346358684224,0.00015272622706271683,0.00527604119231435,0.9317806013705654,1.221873406889419,1.7302345463721818,0.5339062834318793,2.070876796159432,False,False,False,0.10065340288652236,0.0016512705152082717,0.07748579449734087,0.2848833707922791,0.15611320553559027,0.3110837537981015,-0.29429688806467513,True,False,False,False,64,0.5
0.1,327.08546195367796,0.12317703369852023,16403.0331881657,15.985310323023931,15.732132722552274,19.222382786741086,20.89258241577618,0.10268606192631168,0.011158188133240043,0.2945243112740431,9.42477796076938,0.9997922650187333,0.11066330538523313,0.00047155948313134583,4.846126859639629e-06,True,1.3280197150781925,531,5.023448688860067,2.5117243444300335,False,0.02100408622289197,0.016427670641621463,0.009953958600794757,0.019261801417146958,0.025950876945607968,0.04988470477936843,1.6468739818225515,304.92334655262107,0.00015251275456086498,0.005034995967065583,0.9322436550108867,1.2785797013531313,1.6503655782042155,0.7422408675251687,1.9350895648299193,False,False,False,0.10854277826372771,-0.027764159186340554,0.07710497295707931,0.30203668962207664,0.15754689051909881,0.32382879444815116,-0.32591970586184577,True,False,False,False,64,0.5
0.11,359.7656266679745,0.14011751021498758,16393.733949422378,15.985251980036598,15.732132722552274,19.222382786741086,20.886598574205422,0.11916703599871299,0.013152890641446941,0.2945243112740431,9.42477796076938,0.9998201273102345,0.12651038134378517,0.0005666830552290972,5.8401354588636245e-06,True,1.3276393571396798,456,4.774839132028925,2.3874195660144624,False,0.022562225004046824,0.01733460435855253,0.010948844099876873,0.019957190966162133,0.02329953059567599,0.05358528438461121,1.7377940869448913,335.4000471280657,0.0001489449808779668,0.004830350534151199,0.932273742309474,1.3015713850379915,1.5832360202066873,0.8565490572529327,1.82276693175187,False,False,False,0.1162141295073461,-0.004371875004512353,0.07674172687483052,0.3226379642107241,0.1520025744999675,0.36513871582094576,-0.3290894792327997,True,False,False,False,64,0.5
0.12,392.39167409152486,0.190604550519214,16398.152575760825,15.987975282857505,15.732132722552274,19.222382786741086,20.886598574205422,0.14189428816622804,0.015254120281204897,0.2945243112740431,9.42477796076938,0.9998334269752744,0.14252957691673643,0.0006703427350549656,6.927861674136272e-06,True,1.3276393571396798,88,2.759294281870334,1.379647140935167,False,0.02488032149380091,0.018606116584618953,0.01194339575737373,0.021128014524507813,0.02207439713941439,0.05909076354777716,1.8652631876080499,365.8665210090385,0.00015059127766812482,0.004753574835466513,0.9324013356198291,1.3372119528891178,1.5578581638418645,0.9571275895359884,1.7690123440365435,False,False,False,0.11836769432993244,-0.013170201868596194,0.07663116365486435,0.3467675379784492,0.14857112870861208,0.3735700371996884,-0.3392951319188183,True,False,True,True,64,0.5
0.13,425.0485572188676,0.1782965319668129,16395.52246354185,15.987748279262396,15.732132722552274,19.222382786741086,20.89258241577618,0.18115409533019222,0.017451706273253383,0.2945243112740431,9.42477796076938,0.9998389264045936,0.15835412449694233,0.000781216065345332,8.096379587896634e-06,True,1.3280197150781925,288,4.096704379531774,2.048352189765887,False,0.025648845260515068,0.019876675427820827,0.012935753733661603,0.022622394268495213,0.027704749664173984,0.060916007493723286,1.992636711639038,396.265795030906,0.00014331540822606814,0.004688021351435812,0.9322835904295503,1.2903991592384256,1.5365687873368723,0.8165529211674867,1.7488269129325564,False,False,False,0.11630850810899351,-0.009666071056512626,0.07713350463593498,0.336793021148491,0.16576808785768785,0.39058222123721226,-0.38930176688945045,True,False,False,False,64,0.5
