t,norm,peak,PR,R_rms,r50,r80,r90,Vmem_peak,Vmem_mean,k_star,k_star_L,crystallinity,M1,M2,M3,finite,peak_n_cells_half,peak_r_cells,peak_width_phys,artifact_1_2_cells,N,dx,dt,cell
0.0,1.0000000000000004,1.4366969750455945,1.9685233383823983,0.6123724295253029,0.4714045207910325,0.7453559924999312,0.8164965809277268,0.0,0.0,0.2945243112740431,9.42477796076938,0.9988202567146206,0.0,0.0,0.0,True,7,1.1866877982896216,0.39556259942987454,False,96,0.3333333333333339,0.0025,N96_dt0
0.1,327.67699736136404,4.453292848789416,14108.92097038671,15.971546380343122,15.733898294941262,19.209372712298546,20.869967789998036,4.950145044554197,0.011172520072696658,16.395186660921734,524.6459731494955,0.9999856754184747,0.12201892057318793,0.0005611185695079636,5.79244200351089e-06,True,1,0.6203504908994001,0.20678349696646706,True,96,0.3333333333333339,0.0025,N96_dt0
0.2,651.0998795745268,7.772245928523162,15030.84574672929,15.981916686960105,15.737428845483834,19.22093765778466,20.88327347690278,20.50336252895088,0.03481930394640465,0.8835729338221293,28.274333882308138,0.9999857918037199,0.2742239985661297,0.001894683557381155,2.0067697010933975e-05,True,1,0.6203504908994001,0.20678349696646706,True,96,0.3333333333333339,0.0025,N96_dt0
0.3,970.4509747807361,0.7224455426401364,16319.755113978892,15.987803170358628,15.737428845483835,19.232495649002207,20.885933597094056,11.028945271765174,0.06305387849920369,16.395186660921734,524.6459731494955,0.9999900094248986,0.333657342528141,0.003515078907697241,3.8422030214839087e-05,True,30,1.927573210407049,0.6425244034690175,False,96,0.3333333333333339,0.0025,N96_dt0
0.4,1287.4478056253167,0.6974880880266486,16383.678209121155,15.99254598561961,15.740958604156793,19.232495649002207,20.885933597094056,4.558897506157214,0.093010709173785,16.395186660921734,524.6459731494955,0.9999916005104388,0.3891350733246363,0.005492352430754982,6.170277374976895e-05,True,129,3.134491046694726,1.0448303488982438,False,96,0.3333333333333339,0.0025,N96_dt0
0.5,1599.7496518332655,0.6573768221894694,16388.28633611121,15.99514322942753,15.751543134280878,19.223827807061618,20.885933597094056,2.683792459988028,0.12369918226150423,16.002487579223008,512.0796025351362,0.999988489822264,0.433293797799833,0.007972353932820917,9.204390324599792e-05,True,1078,6.360775248802168,2.1202584162673928,False,96,0.3333333333333339,0.0025,N96_dt0
0.6,1911.289695903876,0.7791263158058715,16403.314833319797,15.998420120078215,15.748015748023622,19.23249564900221,20.877952219719464,1.5819695700994567,0.15468077962742727,16.002487579223008,512.0796025351362,0.9999860988579278,0.4647898000865355,0.01084367691136317,0.0001287027746132432,True,1078,6.360775248802168,2.1202584162673928,False,96,0.3333333333333339,0.0025,N96_dt0
0.7000000000000001,2219.663572528285,0.9734062677195336,16401.100265176163,15.99587518782466,15.748015748023622,19.232495649002207,20.877952219719464,1.3149685120040617,0.18592262799734904,16.002487579223008,512.0796025351362,0.9999892038974664,0.4886607969355665,0.014068842605506445,0.00017168128406118183,True,678,5.449797451995575,1.816599150665195,False,96,0.3333333333333339,0.0025,N96_dt0
0.8,2525.406141167889,1.121921246062587,16369.676684168988,15.997977060754236,15.755069730795297,19.23249564900221,20.872629605937693,1.5596522633634844,0.21723680009097118,16.002487579223008,512.0796025351362,0.9999905723803827,0.506564154489303,0.01758067385974544,0.00022056616956574507,True,623,5.2982585274036,1.766086175801203,False,96,0.3333333333333339,0.0025,N96_dt0
0.9,2826.892084712826,1.3767554098397259,16413.570070419813,16.00216659476505,15.758595538097081,19.235384061671343,20.883273476902776,2.2231023543420307,0.24858789120130162,16.002487579223008,512.0796025351362,0.9999943083586839,0.5227470910526357,0.02147893505137854,0.00027703718386599393,True,315,4.220921884256408,1.4069739614188053,False,96,0.3333333333333339,0.0025,N96_dt0
